ಕ್ರ. ಸಂ,ಪತ್ರಿಕೆಯ ಹೆಸರು,ಪ್ರಾರಂಭದ ವರ್ಷ,ಪ್ರಕಟಿಸಿದಸ್ಥಳ,ಪ್ರಕಾಶಕರು,ಸ್ಥಾಪಕ ಸಂಪಾದಕ/ಸಂಪಾದಕ,ಆವರ್ತಕತೆ,ಭಾಷೆ,ಹಾವನೂರು ಶ್ರೀನಿವಾಸ್,ಕೆಪಿಎ
2784,ರಾಜಹಂಸ ಸಂಜೀವಿನಿ,2010,ಬೆಂಗಳೂರು,ಎ ಬಾಲಚಂದ್ರ,ಎ ಬಾಲಚಂದ್ರ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2785,ರಂಗ ಜಂಗಮ ವಾಣಿ,2010,ಬೆಂಗಳೂರು,ಮೇಕಪ್ ಕೃಷ್ಣ,ಮೇಕಪ್ ಕೃಷ್ಣ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2786,ರುಶಿ ಪ್ರಸಾದ,2010,ಬೆಂಗಳೂರು,ಕೌಶಿಕ್ ಭಾಯಿ ವಾಣಿ,ಕೌಶಿಕ್ ಭಾಯಿ ವಾಣಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2787,ಸಾಕ್ಷಾತ್ ಸುಧಿ,2010,ಬೆಂಗಳೂರು,ಎಂ ಎನ್ ಮಹದೇವ ಗೌಡ,ಎಂ ಎನ್ ಮಹದೇವ ಗೌಡ,ದೈನಿಕ,ಕನ್ನಡ,,
2788,ಸಮಾಲೋಚನೇ,2010,ಬೆಂಗಳೂರು,ಎನ್ ವಿಶ್ವ ರೂಪಾಚರ್,ಎನ್ ವಿಶ್ವ ರೂಪಾಚರ್,,ಕನ್ನಡ,,
2789,ಸಂಭ್ರಮಾ,2010,ಬೆಂಗಳೂರು,,ಓಂಕಾರೇಶ್ವರ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2790,ಮಂಥನ ಸಾಗರ,2010,ಬೆಂಗಳೂರು,ಕೆ ರಾಜೇಂದ್ರಪ್ರಸಾದ್,ಕೆ ರಾಜೇಂದ್ರಪ್ರಸಾದ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2791,ಸಂಯುಕ್ತ ರಂಗ,2010,ಬೆಂಗಳೂರು,ಆರ್.ಎನ್. ಹನುಮಂತಪ್ಪ,ಆರ್.ಎನ್. ಹನುಮಂತಪ್ಪ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2792,ಸಂಜೆ ಕರ್ನಾಟಕ,2010,ಬೆಂಗಳೂರು,ಉಮೇಶ ಪೂಜಾರಿ,ಉಮೇಶ ಪೂಜಾರಿ,ದೈನಿಕ,ಕನ್ನಡ,,
2793,ಸಂಜೆ ಪ್ರಭಾ,2010,ಬೆಂಗಳೂರು,ವೆಂಕಟೇಶ ಪೈ,ವೆಂಕಟೇಶ ಪೈ,ದೈನಿಕ Evening,ಕನ್ನಡ,,
2794,ಸಂಜೀವಿನಿ,2010,ಬೆಂಗಳೂರು,ಎ ಬಾಲಚಂದ್ರ,ಎ ಬಾಲಚಂದ್ರ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2795,ಸತ್ಯ ಯೋಧ,2010,ಬೆಂಗಳೂರು,ಶಿವಲೋಕ ಪ್ರಗತಿ ಪ್ರಿಂಟರ್ಸ್,ಎಂ.ರಮೇಶ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2796,ಸವಿ ಸವಿ ಪ್ರೀತಿ,2010,ಬೆಂಗಳೂರು,ಎಂ ಆರ್ ಸತೀಶ್,ಎಂ ಆರ್ ಸತೀಶ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2797,ಶರಣ ಬಂಧು,2010,ಬೆಂಗಳೂರು,ಕೆ.ಎಸ್. ವಿರೂಪಾಕ್ಷಯ್ಯ,ಕೆ.ಎಸ್. ವಿರೂಪಾಕ್ಷಯ್ಯ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2798,ಶರಣ ಜ್ಯೋತಿ,2010,ಬೆಂಗಳೂರು,ಕೆ.ಎಚ್.ಜಗದೀಶ್,ಕೆ.ಎಚ್.ಜಗದೀಶ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2799,ಶೂದ್ರ ಶಕ್ತಿ,2010,ಬೆಂಗಳೂರು,ಬಿ.ಆರ್.ರಾಮೇಗೌಡ,ಬಿ.ಆರ್.ರಾಮೇಗೌಡ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2800,ಶುಭಮಸ್ತು,2010,ಬೆಂಗಳೂರು,,ಕೆ ಎನ್ ಪ್ರಕಾಶ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2801,ಶುಭಶ್ರೀ ಜ್ಯೋತಿಷ್ಯ,2010,ಬೆಂಗಳೂರು,ಮುನಿಯಪ್ಪ ರಾಮು,ಮುನಿಯಪ್ಪ ರಾಮು,ಮಾಸಿಕ,ಕನ್ನಡ,,
2802,ಸಿರಿವಂತ ಕರ್ನಾಟಕ,2010,ಬೆಂಗಳೂರು,ಡಿ.ಮುನಿರಾಜು,ಡಿ.ಮುನಿರಾಜು,ಮಾಸಿಕ,ಕನ್ನಡ,,
2803,ಸ್ಪರ್ದ ಗುರುಕುಲ,2010,ಬೆಂಗಳೂರು,ರಾಜೇಶ್.ಬಿ,ರಾಜೇಶ್.ಬಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2804,ಶ್ರೀ ಸಾಯಿ ನೇಹಾ,2010,ಬೆಂಗಳೂರು,ಎಂ. ಕೃಷ್ಣ,ಎಂ. ಕೃಷ್ಣ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2805,ಶ್ರೀರಂಗವಾಣಿ,2010,ಬೆಂಗಳೂರು,ಆರ್.ಚಿಕ್ಕರಂಗಸ್ವಾಮಿ,ಆರ್.ಚಿಕ್ಕರಂಗಸ್ವಾಮಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2806,ಸುಷ್ಮಾ ವಾನಿ,2010,ಬೆಂಗಳೂರು,ಜಿ. ಗಿರೀಶಾನಂದ,ಜಿ. ಗಿರೀಶಾನಂದ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2807,ಸ್ವಯಂ ಕ್ರುಶಿ ವಾಹಿನಿ,2010,ಬೆಂಗಳೂರು,ಎಂ ಮುರಳಿ,ವೀರೇಂದ್ರ ಬಾಬು,ಮಾಸಿಕ,ಕನ್ನಡ,,
2808,ಹಿರಿಯ ನಾಗರಿಕ ಪೋಸ್ಟ್,2010,ಬೆಂಗಳೂರು,ಎಂ ಆರ್ ಪರಶುರಾಮ್,ಟಿ ಕೆ ಜಗನ್ನಾಥನ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2809,ದಿ ವಾಯ್ಸ್ ಆಫ್ ಲಾಡ್,2010,ಬೆಂಗಳೂರು,ಶ್ರೀಮತಿ ಸುನೀತಾ ಎಂ ಎಸ್,ಶ್ರೀಮತಿ ಸುನೀತಾ ಎಂ ಎಸ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2810,ಟೈಮ್ಸ್ ಆಫ್ ಉದ್ಯೋಗ್,2010,ಬೆಂಗಳೂರು,ಚೌಡವಳ್ಳಿ ಜಗದೀಶ್,ಚೌಡವಳ್ಳಿ ಜಗದೀಶ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2811,ಉದ್ಯೋಗ ಪ್ರೇರಣೆ,2010,ಬೆಂಗಳೂರು,,,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2812,ವಿಶ್ವದ ಧ್ವನಿ,2010,ಬೆಂಗಳೂರು,,ಟಿ ಸಿ ನಾಗರಾಜು,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2813,ಭೂಮಿ ಧ್ವನಿ,2010,ಬೆಂಗಳೂರು,ಜಿ ಗುರುಪ್ರಸಾದ್,ಜಿ ಗುರುಪ್ರಸಾದ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2814,ಪ್ರಚಾರ ಕರ್ತ,2010,ಚಾಮರಾಜನಗರ,ಬಿ ಸಿ ಕುಮಾರ್,ಬಿ ಸಿ ಕುಮಾರ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2815,ಭೂಮಿಗೀತೆ,2010,ಚಿಂತಾಮಣಿ,ಬೆಳಕ್ಕು,ಎಚ್ ಸಿ ರಾಮಕೃಷ್ಣಪ್ಪ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2816,ಡಾ.ರಾಜ್ ಔಷಧ,2010,ಬಾಗೇಪಲ್ಲಿ,ಕೆ ರಮೇಶ್,ಕೆ ರಮೇಶ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2817,ಈ ಮುಂಜಾನೆ,2010,ಬೆಂಗಳೂರು/ಚಿಕ್ಕಬಳ್ಳಾಪುರ,ಮೊಹಮ್ಮದ್ ಯೂನಸ್,ಮೊಹಮ್ಮದ್ ಯೂನಸ್,ದೈನಿಕ,ಕನ್ನಡ,,
2818,ಕೌಟಿಲ್ಯ,2010,ಬಾಗೇಪಲ್ಲಿ/ಚಿಕ್ಕಬಳ್ಳಾಪುರ,ಎಸ್ ಶಂಕರ್ ರಾವ್,ಎಸ್ ಶಂಕರ್ ರಾವ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2819,ಪ್ರಜಾ ಪ್ರಭಂಜನ,2010,ಗೌರೀಬಿದನೂರು,ಎ ಎಚ್ ನಾಗರಾಜ್,ಎ ಎಚ್ ನಾಗರಾಜ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2820,ಬಡವರ ಬಂಧು,2010,ಕೊಪ್ಪ/ಚಿಕ್ಕಮಗಳೂರು,ಯು.ಸಿದ್ಧಿಕ್,ಯು.ಸಿದ್ಧಿಕ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2821,ಚಿಕ್ಕಮಗಳೂರು ಜಮದಗ್ನಿ,2010,ತರಿಕೆರೆ/ಚಿಕ್ಕಮಗಳೂರು,ಎ.ಆರ್.ಕೆ ಶ್ರೀನಿವಾಸ್,ಎ.ಆರ್.ಕೆ ಶ್ರೀನಿವಾಸ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2822,ದಿವ್ಯಾಸ್ತ್ರ,2010,ತರಿಕೆರೆ/ಚಿಕ್ಕಮಗಳೂರು,ಪ್ರಕಾಶ ಜಿ,ಪ್ರಕಾಶ ಜಿ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2823,ವಿಭು,2010,ಚಿಕ್ಕಮಗಳೂರು,ಸಮತಾ,ಸುಪಾರ್ಶ್ವ ಎಂ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2824,ಕನ್ನಡ ಸಂಪಿಗೆ,2010,ಚಿತ್ರದುರ್ಗ,ಟಿ.ತಿಪ್ಪೇಸ್ವಾಮಿ,ಟಿ.ತಿಪ್ಪೇಸ್ವಾಮಿ,ದೈನಿಕ,ಕನ್ನಡ,,
2825,ಕನರಾ ವಿಜಯ್,2010,ಧಾರವಾಡ,,ಮಂಜುನಾಥ್ ಲಕ್ಷ್ಮಣ್ ನಾಯಕ್,ದೈನಿಕ,ಕನ್ನಡ,,
2826,ಹಳ್ಳಿಗಳಲ್ಲಿ,2010,ಮಂಗಳೂರು,ಚಂದ್ರಹಾಸ ರೈ ಬಿ,ಎಂ.ಬಿ.ಅಬ್ದುಲ್ ರೆಹಮಾನ್/ಹಮ್ಜಾ ಮಲಾರ್,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
2827,ಭಾಮಿನಿ,2010,ಮಂಗಳೂರು,ಭಾಮಿನಿ ಪಬ್ಲಿಕೇಷನ್ಸ್,ಮುರಳಿ ಶೇಣಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2828,ಚಂದ್ರಗಿರಿ,2010,ದಕ್ಷಿಣಕನ್ನಡ,ರಮ್ಲತ್ ಅಬ್ದುಲ್ಲಾ,ರಮ್ಲತ್ ಅಬ್ದುಲ್ಲಾ,ದೈನಿಕ,ಕನ್ನಡ,,
2829,ಹೃಧಯ ವಾಹಿನಿ,2010,ಮಂಗಳೂರು,ಕೆ.ಪಿ. ಮಂಜುನಾಥ್,ಕೆ.ಪಿ. ಮಂಜುನಾಥ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2830,ಕಂಠೀರವ,2010,ಮಂಗಳೂರು,ಎಸ್.ಎನ್.ಮಲ್ಲಿಕಾರ್ಜುನ್,ಎಸ್.ಎನ್.ಮಲ್ಲಿಕಾರ್ಜುನ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,"1919-36, 1936 -66, Editor/Publish er - Bolura Vittala Rao, Periodicity - Weekly",
2831,ಕರದ ಸಿರಿ,2010,ಮಂಗಳೂರು,ಕರದ ಬ್ರಾಹ್ಮಣ ಅಭ್ಯುದಯ ಸಂಘ,ಶ್ರೀ ಹರಿ ಭಟ್,,ಕನ್ನಡ,,
2832,ಕೀರ್ತನೆ,2010,ಕುಂಬಳೆ/ಮಂಗಳೂರು,ಸಾಮ್ನಾಡಿಗ ಕುಂಬ್ಳೆ,ಸಾಮ್ನಾಡಿಗ ಕುಂಬ್ಳೆ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2833,ಸ್ಟೈಲಸ್,2010,ಮಂಗಳೂರು,ಸ್ವಂತ ಪ್ರಕಾಶನ,,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2834,ಮಂಗಳೂರು ಮಿರರ್,2010,ಮಂಗಳೂರು,,ರಾಹೇಶ್ ಕದ್ರಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2835,ನಮ್ಮ ಬಂಟ್ವಾಳ,2010,ಬಂಟ್ವಾಳ/ದಕ್ಷಿಣಕನ್ನಡ,ಪ್ರಶಾಂತ್ ಪುಂಜಾಲಕಟ್ಟೆ,ಪ್ರಶಾಂತ್ ಪುಂಜಾಲಕಟ್ಟೆ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2836,ನಮ್ಮ ಪಕ್ಷ,2010,ಬಂಟ್ವಾಳ/ದಕ್ಷಿಣಕನ್ನಡ,ಹೊನ್ನಯ್ಯ,ಹೊನ್ನಯ್ಯ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2837,ನವ್ಯಾ ವಾಣಿ,2010,ಬಂಟ್ವಾಳ,ಪಾರ್ಶ್ವನಾಥ,ಪಾರ್ಶ್ವನಾಥ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2838,ಸೇವಾಪಥ,2010,ಮಂಗಳೂರು,ರತ್ನವರ್ಮ ಜೈನ್,ಬಿ ಶ್ರೀನಿವಾಸ ರಾವ್ ಕಲ್ಮಂಜ,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
2839,ಸುನ್ನಿವಾಣಿ,2010,ಮಂಗಳೂರು,ಟಿ.ಎಂ. ಮುಹಿದ್ದೀನ್ ಕಾಮಿಲ್ ಸಖಾಫಿ,ಟಿ.ಎಂ. ಮುಹಿದ್ದೀನ್ ಕಾಮಿಲ್ ಸಖಾಫಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2840,ಪುರಸಭೆ,2010,ದಕ್ಷಿಣಕನ್ನಡ,ಜಯಂತಿ ಎಸ್ ಬಂಗೇರ,ಜಯಂತಿ ಎಸ್ ಬಂಗೇರ,ತ್ರೈಮಾಸಿಕ,ತುಳು,,
2841,ವಿರಾಟ್ ದರ್ಶನ,2010,ಮಂಗಳೂರು,ಸಮತಾ ಪಬ್ಲಿಕೇಷನ್ಸ್,ಸುಪಾರ್ಶ್ವ ಎಂ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2842,ಅನ್ಮೋಲ್ ಟೈಮ್ಸ್,2010,ಗಂಗಾವತಿ/ಗದಗ,ಎಂ ಎ ವಾಲಿ ಸಾಹಿಬ್,ಎಂ ಎ ವಾಲಿ ಸಾಹಿಬ್,ದೈನಿಕ,ಕನ್ನಡ,,
2843,ಕುರುಹಿನ ಸಂದೇಶ,2010,ಗದಗ,ಜಗನ್ನಾಥ್ ಜಿ ತುಂಬಾ,ಜಗನ್ನಾಥ್ ಜಿ ತುಂಬಾ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2844,ಹಾಸನ ಸಾಹಿತ್ಯ ಲೋಕ,2010,ಹಾಸನ,,ಎನ್ ಟಿ ಗಿರೀಶ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2845,ಸುದ್ದಿ ಧ್ವನಿ,2010,ಕೊಣನೂರು/ಹಾಸನ,ಕೊಣ್ಣನೂರು ಚೆನ್ನಕೇಶವಯ್ಯ,ಕೊಣ್ಣನೂರು ಚೆನ್ನಕೇಶವಯ್ಯ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2846,ಕೊಡಗು ವಾರ್ತೆ,2010,ಮಡಿಕೇರಿ/ಗೋಣಿಕೊಪ್ಪ,ಸಿ.ಪ್ರವೀಣ್ ಉತ್ತಪ್ಪ,ಸಿ.ಪ್ರವೀಣ್ ಉತ್ತಪ್ಪ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2847,ದುಂಬಿ,2010,ಕೋಲಾರ,ಬೇಡಶೆಟ್ಟಿಹಳ್ಳಿ ರಮೇಶ್,ಬೇಡಶೆಟ್ಟಿಹಳ್ಳಿ ರಮೇಶ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2848,ಸಮರ್ಥ ವಾಣಿ,2010,ಗಂಗಾವತಿ,ಗಿರೀಶ್ ಕುಲಕರ್ಣಿ,ಗಿರೀಶ್ ಕುಲಕರ್ಣಿ,ದೈನಿಕ,ಕನ್ನಡ,,
2849,ಸುದ್ದಿಚಿಂತನ,2010,ಗಂಗಾವತಿ,ಸಿ.ಎಚ್. ನಾರಿನಾಲ್,ಸಿ.ಎಚ್. ನಾರಿನಾಲ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2850,ಸುದೀನಾ,2010,ಕೊಪ್ಪಳ,ಎಸ್.ಎಂ.ಹೊದ್ಲೂರು,ಹರೀಶ್ ಹೆಚ್ ಎಸ್/ ಎಸ್ ಎಂ ಹೊದ್ಲೂರು,ದೈನಿಕ,ಕನ್ನಡ,,
2851,ಸುವರ್ಣಗಿರಿ,2010,ಗಂಗಾವತಿ,ಶೇಕಮಹೆಬೂಬ್ ಪಟೇಲ್,ಶೇಕಮಹೆಬೂಬ್ ಪಟೇಲ್,ದೈನಿಕ,ಕನ್ನಡ,,
2852,ಕಂದಾಯ ದರ್ಪಣ,2010,ಮಂಡ್ಯ,ರಾಮಕೃಷ್ಣ,ರಾಮಕೃಷ್ಣ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2853,ಮಂಡ್ಯ ಬೆಳಿಗ್ಗೆ,2010,ಮಂಡ್ಯ,ಸ್ವತಾ ಎಂ ಕೆ,ಮೇರಿ ಎಂ ಜೆ/ ನಾಗೈಹ ಲಾಲನಕೆರೆ,ದೈನಿಕ,ಕನ್ನಡ,,
2854,ಮಂಡ್ಯದ ರೂವಾರಿ,2010,ಮಂಡ್ಯ,ಎಸ್.ನಾರಾಯಣ ಸ್ವಾಮಿ,ಎಸ್.ನಾರಾಯಣ ಸ್ವಾಮಿ,ದೈನಿಕ,ಕನ್ನಡ,,
2855,ಅರುಹು ಕುರುರುಹು,2010,ಮೈಸೂರು,ಹಾ ತಿ ರತ್ನಾ,ಎಚ್.ಎಸ್. ಉಮೇಶ್,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
2856,ಕೌಸ್ತುಬ,2010,ಮೈಸೂರು,ರತ್ನ ಹಾಲಪ್ಪ ಗೌಡ,ರತ್ನ ಹಾಲಪ್ಪ ಗೌಡ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2857,ಮೈಸೂರು ಶಕ್ತಿ,2010,,,ಕೆ ಚಂದ್ರಶೇಖರ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2858,ನೇಗಿಲ ಭಾಗ್ಯ,2010,ಮೈಸೂರು,ನೇಗಿಲ ಯೋಗಿ ಸಮಾಜ ಸೇವಾ ಟ್ರಸ್ಟ್,ಎಲ್ ದೇವೇಗೌಡ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2859,ನಿರುಪಮಾ,2010,ಮೈಸೂರು,ಶಾಂತರಾಜು,ಶಾಂತರಾಜು,ಮಾಸಿಕ,ಕನ್ನಡ,,
2860,ಶ್ರೀ ರಾಘವೇಂದ್ರ ವಿಜಯ್,2010,ನಂಜನಗೂಡು,ಶ್ರೀ ಸುಶಮೀನ್ದ್ರ ಸೇವಾ ಪ್ರತಿಷ್ಠಾನ,,ಮಾಸಿಕ,ಕನ್ನಡ,,
2861,ಕಲ್ಯಾಣ ಕರ್ನಾಟಕ,2010,ರಾಯಚೂರು,ಲಕ್ಷ್ಮಣ ಬಾರಿಕರ್,ಲಕ್ಷ್ಮಣ ಬಾರಿಕರ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2862,ನಮ್ಮೂರ ಶಾಸಕರು,2010,ರಾಯಚೂರು,ಜಲಾಲುದ್ದೀನ್,ಜಲಾಲುದ್ದೀನ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
2863,ಅರ್ಗಾವತಿ ಥೇರ,2010,ರಾಮನಗರ,ಹೆಚ್ ಎಸ್ ರೂಪೇಶ್ ಕುಮಾರ್,ಹೆಚ್ ಎಸ್ ರೂಪೇಶ್ ಕುಮಾರ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2864,ದೇಗುಲ ಪ್ರಭೆ,2010,ಕನಕಪುರ,ಮುಮ್ಮಡಿ ನಿರ್ವಾಣ ಸ್ವಾಮೀಜಿ,ಸಿ ಶಿವಕುಮಾರ್ ಸ್ವಾಮಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2865,ಈ -ಮುಂಜಾನೆ,2010,ಬೆಂಗಳೂರು/ರಾಮನಗರ,,,ದೈನಿಕ,ಕನ್ನಡ,,
2866,ಗುರು ಕಿರಣ,2010,ಮಾಗಡಿ,ಕೆ ಎನ್ ಪರಮೇಶ್ವರ,ಕೆ ಎನ್ ಪರಮೇಶ್ವರ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2867,ಅಮೂಲ್ಯ ವಾಹಿನಿ,2010,ಶಿವಮೊಗ್ಗ,ಎಸ್ ವಿ ಶಾಸ್ತ್ರಿ,ಎಸ್ ವಿ ಶಾಸ್ತ್ರಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2868,ಬೆಳಗಿನ ಛಲಗಾರ,2010,ತೀರ್ಥಹಳ್ಳಿ,ಎ ಎಸ್ ಗಣಪತಿ ಅವರಿಂದ,ನಿಶಾತ್ ಸಿ,ದೈನಿಕ,ಕನ್ನಡ,,
2869,ಹಲೋ ಶಿವಮೊಗ್ಗ,2010,ಶಿವಮೊಗ್ಗ,ಜಿ ನಾಗರಾಜ,ಜಿ ನಾಗರಾಜ,ದೈನಿಕ,ಕನ್ನಡ,,
2870,ಈ ಮುಂಜನ,2010,ತುಮಕೂರು,,,ದೈನಿಕ,ಕನ್ನಡ,,
2871,ಜನಪರ ರಾಜಕೀಯ,2010,ಉಡುಪಿ,ಶ್ರೀ ರಾಮ್ ದೀವಾನಾ,ಶ್ರೀ ರಾಮ್ ದೀವಾನಾ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2872,ಕುಂದಾಪುರ ಮಿತ್ರ,2010,ಕುಂದಾಪುರ,ಟಿ ಪಿ ಮಂಜುನಾಥ್,ಟಿ ಪಿ ಮಂಜುನಾಥ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2873,ನವ್ಯಾ ವಾಣಿ,2010,ಉಡುಪಿ,ಪಾರ್ಶ್ವನಾಥ,ಪಾರ್ಶ್ವನಾಥ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2874,ಪರಮಾ ಮೈತ್ರಿ,2010,ಉಡುಪಿ,ಪಿ ಶಂಬುದಾಸ,ಪಿ ಶಂಬುದಾಸ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2875,ಸರ್ವೋದಯ ಸಾಮ್ರಾಟ್,2010,ಉಡುಪಿ,ಸಮತಾ ಪಬ್ಲಿಕೇಷನ್ಸ್,ಸುಪಾರ್ಶ್ವ ಎಂ,ಮಾಸಿಕ,ಕನ್ನಡ,,
2876,ತತ್ತ್ವ ಮಲ್ಲಿಕಾ,2010,ಉಡುಪಿ,ಶ್ರೀ ಭಾವಿಸಮೀರತತ್ವಪ್ ರಸರನ ಪ್ರತಿಸ್ಥಾತನ,ವಿಶ್ವವಲ್ಲಭತೀರ್ಥರು ಶ್ರೀಪಾದಂಗಳವರು,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
2877,ವಿಭು,2010,ಕಾರ್ಕಳ,ಸಮತಾ ಪಬ್ಲಿಕೇಷನ್ಸ್,ಸುಪಾರ್ಶ್ವ ಎಂ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2878,ಕೆನರಾ ವಿಜಯ್,2010,ಕುಮಟಾ,ಮಂಜುನಾಥ್ ಲಕ್ಷ್ಮಣ್ ನಾಯಕ್,ಮಂಜುನಾಥ್ ಲಕ್ಷ್ಮಣ್ ನಾಯಕ್,ದೈನಿಕ,ಕನ್ನಡ,,
2879,ಗೋಕರ್ಣಶ್ರೀ,2010,ಗೋಕರ್ಣ,ಜಿ.ಕೆ ಎಲ್ಲಿಯೂ ಗೋಲಾ ಆಫ್ ದಿ ಇಯರ್,ಶ್ರೀಧರ್ ಆಧಿ.,ಮಾಸಿಕ,ಕನ್ನಡ,,
2880,ಕುಂದಾಪುರ ಮಿತ್ರ,2010,ಕುಂದಾಪುರ,,ಟಿ.ಪಿ. ಮಂಜುನಾಥ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2881,ಪಿಸು ಮಾತು,2010,ಗೇರುಸೊಪ್ಪ,,ಶ್ರೀಪತಿ ಎಂ.ಗೋಗಡಿಗೆ,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
2882,ಬಿಜಾಪುರ ವರದಿ,2010,ವಿಜಯಪುರ,ವಿ ಎ ಬನಸೋಡೆ,ವಿ ಎ ಬನಸೋಡೆ,ದೈನಿಕ,ಕನ್ನಡ,,
2883,ದಲಿತವರ್,2010,ವಿಜಯಪುರ,ಮನುಜುನಾಥಸ್ವಾಮಿ ಮಹದೇವಪ್ಪ ಕುಂದರಗಿ,ಮನುಜುನಾಥಸ್ವಾಮಿ ಮಹದೇವಪ್ಪ ಕುಂದರಗಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
2884,ಪುಡಾರಿ ಪುಂಡ,2010,ವಿಜಯಪುರ,ಲಡ್ಡೇಲ್ ಮಸಕ್ ಮೆಹಬೂಬ್ ಕೂಡ ನಂ,ಲಡ್ಡೇಲ್ ಮಸಕ್ ಮೆಹಬೂಬ್ ಕೂಡ ನಂ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
2885,ರಕ್ತದ ಪಾತ್ರ,2010,ವಿಜಯಪುರ,ರವೀಂದ್ರ ಜಿ.ಮಾಯವಂಶಿ,ರವೀಂದ್ರ ಜಿ.ಮಾಯವಂಶಿ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
