ಕ್ರ. ಸಂ,ಪತ್ರಿಕೆಯ ಹೆಸರು,ಪ್ರಾರಂಭದ ವರ್ಷ,ಪ್ರಕಟಿಸಿದಸ್ಥಳ,ಪ್ರಕಾಶಕರು,ಸ್ಥಾಪಕ ಸಂಪಾದಕ/ಸಂಪಾದಕ,ಆವರ್ತಕತೆ,ಭಾಷೆ,ಹಾವನೂರು ಶ್ರೀನಿವಾಸ್,ಕೆಪಿಎ
71,ನವಸಂದೇಶ,1934,ಬಳ್ಳಾರಿ,ಟಿ.ಹೆಚ್.ಎಮ್ ಚಂದ್ರಶೇಖರ ಶಾಸ್ತ್ರಿ,ಟಿ.ಹೆಚ್.ಎಮ್ ಚಂದ್ರಶೇಖರ ಶಾಸ್ತ್ರಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,1934 - 76,
72,ವಿವೇಕಾಭ್ಯುದಯ,1934,ಮೈಸೂರು,ಮೈಸೂರು ಜೈನ ಸಂಘ,ಶಾಂತಿರಾಜ ಶಾಸ್ತ್ರಿ,ಮಾಸಿಕ,ಕನ್ನಡ,"1933 - 74, Pub -MC Anantaraya, Editor - Shanthiraja Shastri",
73,ಜ್ಞಾನವಾಣಿ,1935,ಬೆಂಗಳೂರು,ಡಾ ಎಂ ಡಿ ನಟರಾಜ್,ಡಾ ಎಂ ಡಿ ನಟರಾಜ್,ದೈನಿಕ,ಕನ್ನಡ,"1933-65, Pub : ML Srikantaiah, Edi: Narasimha swamiji/ G S Swamaji",1933
74,ವಿವೇಕಾಭ್ಯುದಯ,1935,ಬೆಂಗಳೂರು,ಎಂ.ಸಿ.ಅನಂತರಾಜಯ್ಯ,ಜಿ ಬ್ರಹ್ಮಪ್ಪ,ಮಾಸಿಕ,ಕನ್ನಡ,"1933-65, Pub : ML Srikantaiah, Edi: Narasimha swamiji/ G S Swamaji",
75,ಪ್ರಭಾತ್,1935,ಮಂಗಳೂರು,ಹೆಚ್ ಮನೋಹನ ಕಾಮತ್,ಕದ್ವಿ ವಾಸುದೇವ ಶೆಣೈ / ಮನೋಹರ್ ಕಾಮತ್,ದೈನಿಕ,ಕನ್ನಡ,"1935 - 78, Editor-Kundli Vasudeva Shenoy, Publisher - M. Anata Prabhu, Periodicity - Weekly/Daily",1928
76,ವರ್ತಕ ಧುರೀಣ,1935,ಉಡುಪಿ,ರಾಮಚಂದ್ರ ಶ್ಯಾಮ ಶೆಣೈ,ರಾಮಚಂದ್ರ ಶ್ಯಾಮ ಶೆಣೈ,ಮಾಸಿಕ,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,Pub - Venkataraman acharya,
77,ಜನಪದ 1,1936,ಬೆಂಗಳೂರು,"ನಿರ್ದೇಶಕರು, ವಾರ್ತಾ ಮತ್ತು ಪ್ರಚಾರ, ಸರ್ಕಾರ. ಮೈಸೂರು, ಬೆಂಗಳೂರು","ನಿರ್ದೇಶಕರು, ವಾರ್ತಾ ಮತ್ತು ಪ್ರಚಾರ, ಸರ್ಕಾರ. ಮೈಸೂರು, ಬೆಂಗಳೂರು",ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
78,ಪ್ರವಾಸಿ,1936,ಕಾಸರಗೋಡು,,,ಮಾಸಿಕ,ಕನ್ನಡ,"1953 -56, Publisher - Eshwar Bhat",1953
79,ಕಲಿಯುಗ,1937,ಧಾರವಾಡ,,ಎಂ ಗೋಪಾಲ ಕೃಷ್ಣ ರಾಯರು,,ಕನ್ನಡ,1936-56,
80,ನಂದಿನಿ,1937,ಉಡುಪಿ,ಡಿ ಎಸ್ ವಿಶ್ವಾಮಿತ್ರ,ಡಿ ಎಸ್ ವಿಶ್ವಾಮಿತ್ರ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
